team_name,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,BltzPer,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,PrssPer,MTkl
ATL,7,226,140,1331,11,8,791,631,56,22.5,29,11.60%,28,12.40%,13,70,28.1,37
BUF,7,213,148,1409,6,6.6,895,653,62,24.4,22,8.70%,27,12.70%,25,74,29.1,53
CAR,6,170,113,1187,10,7.4,701,583,56,30.3,10,5.40%,16,9.40%,14,40,21.6,58
CHI,7,254,174,1800,14,7.5,969,891,64,23,16,5.80%,20,7.90%,10,46,16.5,42
CIN,6,194,119,1278,8,10.1,843,551,71,31.1,15,6.60%,24,12.40%,19,58,25.4,34
CLE,6,156,84,895,6,8.3,452,572,57,31.3,8,4.40%,24,15.40%,19,51,28,35
IND,7,252,162,1628,7,7.8,1049,725,49,17.1,20,7.00%,22,8.70%,20,62,21.7,38
ARI,7,223,159,1663,11,7.7,1116,701,54,20.9,15,5.80%,4,1.80%,20,39,15.1,27
DAL,6,170,102,1062,8,7.3,552,593,63,30.4,10,4.80%,18,10.60%,16,44,21.3,20
DEN,7,227,171,1802,16,6.4,905,1004,71,27.7,13,5.10%,14,6.20%,14,41,16,39
DET,7,260,162,1684,11,8.8,1113,684,58,19.8,34,11.60%,21,8.10%,15,70,23.9,51
GB,6,191,127,1166,6,6.2,641,628,79,35.6,25,11.30%,15,7.90%,16,56,25.2,38
HOU,6,214,151,1473,4,7.4,825,697,51,21.8,18,7.70%,23,10.70%,9,50,21.4,60
JAX,7,291,185,1917,10,7.6,1009,972,103,32.1,35,10.90%,25,8.60%,13,73,22.7,52
KC,7,237,143,1322,8,8.2,838,612,95,34.9,29,10.70%,27,11.40%,22,78,28.7,27
MIA,7,240,168,1631,10,8.4,965,829,67,24.5,22,8.10%,26,10.80%,24,72,26.4,51
MIN,7,232,173,1573,10,6.7,861,845,150,56.4,30,11.30%,16,6.90%,19,65,24.4,35
NO,7,232,134,1309,8,8.7,687,717,60,22.6,20,7.50%,14,6.00%,13,47,17.7,28
NE,7,234,156,1474,8,8.6,889,680,108,42,27,10.50%,19,8.10%,13,59,23,38
NYG,7,221,137,1499,8,6.9,698,882,99,41.6,21,8.80%,19,8.60%,11,51,21.4,52
NYJ,6,214,141,1300,8,7.3,575,796,45,18.3,35,14.20%,22,10.30%,13,70,28.5,48
TEN,6,193,138,1422,6,8.3,846,694,53,24,10,4.50%,13,6.70%,15,38,17.2,30
PHI,7,266,173,1592,12,8.6,979,750,73,24.3,34,11.30%,25,9.40%,24,83,27.6,28
PIT,6,211,122,1447,9,9.5,966,592,92,37.9,20,8.20%,23,10.90%,19,62,25.5,44
LV,7,215,148,1312,9,6.2,578,819,59,24.6,15,6.30%,9,4.20%,15,39,16.3,43
LA,7,229,133,1463,4,8.7,844,692,56,22.1,17,6.70%,23,10.00%,12,52,20.6,55
BAL,7,271,164,1232,4,7.5,745,725,82,26.3,8,2.60%,21,7.70%,29,58,18.6,35
LAC,6,230,157,1860,12,8.6,1142,871,71,27.5,12,4.70%,14,6.10%,22,48,18.6,33
SEA,6,234,157,1410,7,7.5,907,629,58,21.7,18,6.70%,20,8.50%,23,61,22.8,40
SF,7,280,184,1565,7,7.5,912,731,65,21.2,32,10.50%,33,11.80%,15,80,26.1,25
TB,6,218,145,1480,6,7.6,802,773,93,38.6,17,7.10%,15,6.90%,16,48,19.9,33
WAS,7,236,145,1739,14,9.7,1104,741,77,28.1,24,8.80%,20,8.50%,23,67,24.5,38
